State,TotalRate,TotalNumber,TotalPopulation,BreastTotal,ColorectalTotal,LungTotal,StatePop,smokingRate
Alabama,214.2,71529,33387205,27.4,19.4,66.4,4779736,20.2
Alaska,128.1,6361,4966180,17.8,11.9,36.6,710231,17.4
Arizona,165.6,74286,44845598,23.3,14.9,42.3,6392017,14.9
Arkansas,223.9,45627,20382448,27.9,21.2,73.3,2915918,20.2
California,150.9,393980,261135696,23,14,34.5,37253956,10
Colorado,139,49035,35267734,20.7,12.7,31.8,5029196,13.5
Connecticut,190.5,47567,24975889,26.7,15.6,49,3574097,12.1
Delaware,210.2,13233,6295263,28,17.6,62.7,783600,15.9
Florida,219.2,289905,132277071,28.7,19.6,63,15982378,14.8
Georgia,159.4,108222,67890652,23.7,14.6,46.3,9687653,16.3
Hawaii,166,15812,9526083,19,16.5,39.8,1360301,12.3
Idaho,162.1,17756,10954295,23.1,14.3,39.7,1567582,15.3
Illinois,189.2,169730,89696961,27.2,18.1,52.3,12830632,14.5
Indiana,202.7,91978,45372690,27.1,18.2,62.3,6483802,19.2
Iowa,210.3,44835,21322082,27.1,20.9,58.2,3046355,16.4
Kansas,188.9,37644,19928783,25.7,17.7,53.2,2853118,16.2
Kentucky,226.3,68675,30348057,27.4,20.2,79.7,4339367,23.6
Louisiana,202.9,64194,31638386,28.1,19.4,59.9,4533372,21.9
Maine,239.1,22240,9301182,27.2,19.9,71.2,1328361,17.6
Maryland,179.3,72603,40483979,27.3,16.5,47.9,5773552,12.7
Massachusetts,197.8,90756,45892272,25.6,17,53.4,6547629,12
Michigan,205.3,142458,69388573,28.5,18,59.4,9883640,18.7
Minnesota,178.4,66328,37183729,24.3,15.6,44.8,5303925,14.6
Mississippi,211.4,43874,20756872,27.7,20.9,65.6,2967297,20.4
Missouri,211.2,88348,41838390,28.9,19.4,65.5,5988927,19.6
Montana,196.1,13593,6933023,26.2,17.2,52.4,989415,16.6
Nebraska,187.5,23977,12785524,24.8,19.2,49.5,1826341,14.7
Nevada,167.9,31758,18912307,24.6,16.7,48.5,2700551,15.7
New Hampshire,197.9,18256,9223389,26.1,16.5,55.4,1316470,15.9
New Jersey,189.9,116836,61521555,30.3,18.8,47.5,8791894,13.1
New Mexico,163.2,23425,14349762,23.2,16.2,36.3,2059179,16
New York,183.2,248572,135716524,26.8,17.4,47.2,19378102,12.7
North Carolina,188.7,125783,66669069,26.1,16,57.2,9535483,18.5
North Dakota,189.1,8990,4754903,26.6,19.5,47.7,672591,17
Ohio,217.8,175847,80741243,30.3,20.2,64.2,11536504,20.8
Oklahoma,209.4,54930,26229144,27.8,19.3,65.2,3751351,18.9
Oregon,199.1,53430,26832116,26.2,17.7,53.8,3831074,14.5
Pennsylvania,227.7,202230,88825682,31.8,21.6,61.3,12702379,17.3
Rhode Island,211.2,15570,7371636,26.5,18.7,60.7,1052567,13.3
South Carolina,202.6,65561,32366134,27.6,17.8,60.1,4625364,17.5
South Dakota,196.2,11212,5714307,27,19.6,52.4,814180,18.3
Tennessee,213.1,94678,44430836,27.3,19.5,68.5,6346105,19.9
Texas,145.8,257000,176270421,21,13.8,38.1,25145561,14.7
Utah,98.5,19022,19321462,17.4,9,15.6,2763885,7.9
Vermont,211.6,9261,4377262,25.8,18.4,60.2,625741,15.1
Virginia,177.1,99278,56054333,26.1,15.6,49.8,8001024,14
Washington,175.9,82864,47114240,23.7,14.9,46.8,6724540,12.6
West Virginia,254.6,32950,12940212,30.8,24.4,81.3,1852994,23.8
Wisconsin,197.5,78578,39788899,26.3,17,51.9,5686986,15.4
Wyoming,167.9,6603,3931624,23.5,16.1,41.5,563626,18.4
